year,weekly_salary,race,age,annual_salary
2001,451,hispanic,25_54_years,23452
2002,460,hispanic,25_54_years,23920
2003,470,hispanic,25_54_years,24440
2004,484,hispanic,25_54_years,25168
2005,495,hispanic,25_54_years,25740
2006,507,hispanic,25_54_years,26364
2007,524,hispanic,25_54_years,27248
2008,567,hispanic,25_54_years,29484
2009,576,hispanic,25_54_years,29952
2010,569,hispanic,25_54_years,29588
2011,580,hispanic,25_54_years,30160
2012,594,hispanic,25_54_years,30888
2013,601,hispanic,25_54_years,31252
2014,618,hispanic,25_54_years,32136
2015,628,hispanic,25_54_years,32656
2016,659,hispanic,25_54_years,34268
2017,684,hispanic,25_54_years,35568
2018,707,hispanic,25_54_years,36764
2019,734,hispanic,25_54_years,38168
2000,420,hispanic,55+,21840
2001,435,hispanic,55+,22620
2002,469,hispanic,55+,24388
2003,494,hispanic,55+,25688
2004,507,hispanic,55+,26364
2005,500,hispanic,55+,26000
2006,515,hispanic,55+,26780
2007,538,hispanic,55+,27976
2008,570,hispanic,55+,29640
2009,581,hispanic,55+,30212
2010,582,hispanic,55+,30264
2011,595,hispanic,55+,30940
2012,617,hispanic,55+,32084
2013,627,hispanic,55+,32604
2014,625,hispanic,55+,32500
2015,646,hispanic,55+,33592
2016,693,hispanic,55+,36036
2017,713,hispanic,55+,37076
2018,731,hispanic,55+,38012
2019,735,hispanic,55+,38220
