occ_title,white,black,asian,hispanic,annual_salary
Driver/Sales Workers and Truck Drivers,75.2,18.1,2.9,20.5,42170
Postsecondary Teachers,75.3,7,15.1,8.3,90830
Healthcare Practitioners and Technical Occupations,75.3,12.5,9.6,9,83640
File Clerks,75.3,16.8,4.1,14.2,34610
Waiters and Waitresses,75.5,11.1,7.6,23.4,26800
Chemical Engineers,75.6,4,17.1,2.4,117090
Human Resources Workers,75.7,13.8,7.1,13.8,68200
Chemists and Materials Scientists,75.7,7,13.7,8.2,85360
Occupational Therapists,75.7,10.2,12.4,10.2,86210
Structural Iron and Steel Workers,75.7,11.7,7.8,18.7,59170
Preschool and Kindergarten Teachers,75.8,15.7,5.2,14.9,40370
Receptionists and Information Clerks,75.8,15.4,4.6,21.8,31250
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",75.8,10.6,8.5,21.1,36650
Registered Nurses,75.9,12.4,9.2,7.2,77460
"Compensation, Benefits, and Job Analysis Specialists",76,19,3.7,6,69840
Childcare Workers,76,17.4,3.3,24.6,25510
Management Analysts,76.1,7.5,13.7,8.6,95560
Computer Network Architects,76.1,13.1,10.3,14.1,115110
Cleaners of Vehicles and Equipment,76.1,19.4,1.4,34.8,27940
Food Service Managers,76.3,9.8,9.6,19.8,59820
Physical Therapists,76.4,5.9,14.1,4,90170
Nurse Practitioners,76.6,12.2,9.9,2.6,111840
Office and Administrative Support Occupations,76.6,14.5,5,17.5,41040
Production Occupations,76.6,13.3,6,23.1,40140
First-Line Supervisors of Food Preparation and Serving Workers,76.7,14.9,4.8,22.6,36960
"Life, Physical, and Social Science Occupations",76.9,6.3,14.4,9.5,77540
Security and Fire Alarm Systems Installers,76.9,14.3,4.6,23.5,50210
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",77,12.2,3.6,31,31710
Logisticians,77.1,15.5,2.7,8.2,78680
Accountants and Auditors,77.1,8.5,12,8.9,79520
Paralegals and Legal Assistants,77.1,11.8,6.7,17.7,55020
Dining Room and Cafeteria Attendants and Bartender Helpers,77.1,12.6,6.2,34.2,25020
Network and Computer Systems Administrators,77.2,9.7,11.7,8.5,88410
Training and Development Specialists,77.3,15.4,4,10.6,65640
Building and Grounds Cleaning and Maintenance Occupations,77.3,14.9,2.9,38.2,31250
"Hairdressers, Hairstylists, and Cosmetologists",77.3,13.9,6.1,17,31530
Tax Preparers,77.5,16.6,5.6,15.2,49550
Architecture and Engineering Occupations,77.5,6.8,13.3,9.2,88800
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",77.6,8.6,4,17.7,24010
"Inspectors, Testers, Sorters, Samplers, and Weighers",77.6,11.5,5.4,17.5,43000
"Office and Administrative Support Workers, All Other",77.7,15.5,3.4,13.6,38290
Human Resources Managers,77.8,11.1,7.1,10.1,129570
Word Processors and Typists,77.8,12.6,3.3,16.1,41880
Dietitians and Nutritionists,77.9,15.2,5.9,9,62330
Aerospace Engineers,78,6.5,14.5,7.3,119220
"Library Assistants, Clerical",78.2,12,8.9,12.6,29820
Cutting Workers,78.3,18.8,2.5,25.2,36120
Business and Financial Operations Occupations,78.4,9.9,9,9.5,78130
Other Teachers and Instructors,78.4,11.7,6.1,11.6,40730
First-Line Supervisors of Housekeeping and Janitorial Workers,78.5,15,3.2,27.5,44160
Retail Salespersons,78.9,12.4,4.5,18.7,29360
Medical and Health Services Managers,79,12.7,5.7,11.8,115160
Clergy,79.1,12.2,5.9,7.7,55190
"Models, Demonstrators, and Product Promoters",79.5,11.3,3.1,16,35360
Miscellaneous Entertainment Attendants and Related Workers,79.6,10.8,5.4,15.5,25090
Sales and Related Occupations,79.8,11.2,5.4,16.7,43060
Payroll and Timekeeping Clerks,79.8,8.4,6.9,17.9,47390
Social and Community Service Managers,79.9,12.3,3.2,10.6,72900
"Information and Record Clerks, All Other",79.9,13.4,2.3,22.8,42410
Tellers,80,9.9,4.8,20,31660
"Production, Planning, and Expediting Clerks",80,14,3.3,12.5,50640
Chemical Technicians,80.1,10.6,6.3,12.2,52910
Financial Managers,80.2,8.5,9.4,11.4,147530
First-Line Supervisors of Office and Administrative Support Workers,80.2,13.4,3.7,13.3,60130
Civil Engineers,80.3,5.9,12.2,8.4,94360
First-Line Supervisors of Production and Operating Workers,80.3,12.2,3.8,17.2,65220
Mechanical Engineers,80.4,5.1,11.6,8.4,93540
Operations Research Analysts,80.5,6.8,8.3,9.7,90600
Market Research Analysts and Marketing Specialists,80.6,5.9,11.4,7.2,71570
Compliance Officers,80.7,10.2,6.1,10.5,72850
"Industrial Engineers, Including Health and Safety",80.7,7.9,9.4,5.9,92830
Dispatchers,80.8,14.2,2.5,15.2,44170
"Crushing, Grinding, Polishing, Mixing, and Blending Workers",80.8,11.4,1.9,26.1,38740
Lodging Managers,80.9,7,9.3,14.6,63570
Other Healthcare Practitioners and Technical Occupations,80.9,12.5,4.3,12.1,56620
Biological Scientists,81,3.4,14.4,8.7,89100
First-Line Supervisors of Retail Sales Workers,81,9.5,5.5,14.7,45830
"Athletes, Coaches, Umpires, and Related Workers",81.1,9.3,4.3,10.8,46460
"Therapists, All Other",81.1,12.2,5.1,11.9,58600
Insurance Sales Agents,81.2,10.1,5.6,13.4,67780
Architectural and Engineering Managers,81.5,6,11.8,6.7,152930
"Judges, Magistrates, and Other Judicial Workers",81.5,13.4,4.8,8.6,113470
Billing and Posting Clerks,81.5,10.3,4.7,15.7,40620
Painting Workers,81.5,13,1.8,41.8,40820
Recreation and Fitness Workers,81.6,10.8,3.4,10.2,36830
Travel Agents,81.6,9.5,7.1,6.7,44690
"Court, Municipal, and License Clerks",81.6,14.5,1.2,17.3,42030
Credit Counselors and Loan Officers,81.7,12.2,4.2,11.6,73750
Advertising Sales Agents,81.9,10.8,3.7,13.7,64660
"Meeting, Convention, and Event Planners",82,8.8,7.4,11.9,54880
Construction and Building Inspectors,82,8.3,6.8,12.8,64390
Personal Financial Advisors,82.2,6.9,8.6,6.3,119290
Designers,82.2,5.7,9,11,51490
Telecommunications Line Installers and Repairers,82.2,12.5,2.3,24.7,59670
Tour and Travel Guides,82.3,1.7,5.5,5.3,30670
Aircraft Mechanics and Service Technicians,82.4,10.5,4.8,12.4,67110
"Architects, Except Naval",82.6,6.3,8.8,8.5,87060
Detectives and Criminal Investigators,82.7,12.7,1.9,8.4,86030
"Arts, Design, Entertainment, Sports, and Media Occupations",82.8,7.7,5.9,11.6,61960
Police and Sheriff's Patrol Officers,82.9,12.6,1.5,17,67600
Legal Occupations,83,8.3,6.1,9.5,109630
Physical Therapist Assistants and Aides,83.2,6.8,6.5,7.2,48630
"Financial Clerks, All Other",83.2,10.9,3.8,15.4,44740
Logging Workers,83.2,2.7,2.9,16,42620
Miscellaneous Plant and System Operators,83.2,11.6,3.9,14.7,68170
Management Occupations,83.6,7.8,6.1,10.7,122480
"Property, Real Estate, and Community Association Managers",83.6,8.9,4.5,12.8,71720
Public Relations Specialists,83.6,9.9,5.8,13.6,70190
Highway Maintenance Workers,83.6,12.7,0.4,13.3,42410
"Motor Vehicle Operators, All Other",83.6,10.6,5.5,18.6,37300
Automotive Service Technicians and Mechanics,83.8,8.7,3.2,27.7,44890
"Sales and Related Workers, All Other",83.9,10.6,1.1,13.9,40620
"Maintenance and Repair Workers, General",83.9,9.4,3.2,20.1,41960
"Installation, Maintenance, and Repair Occupations",84,9.1,3.3,20.3,50130
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",84,9.1,3,20.2,51420
Technical Writers,84.2,11.8,2.9,8.8,76860
Photographers,84.3,8.6,3.5,12.3,45440
Physician Assistants,84.3,4.5,6.8,8.6,112410
Printing Press Operators,84.3,7.2,4,23.1,39100
Stationary Engineers and Boiler Operators,84.3,5.2,5.5,9.8,65970
Water and Wastewater Treatment Plant and System Operators,84.6,8.4,3.5,9.7,50490
Elementary and Middle School Teachers,84.7,10.2,2.6,10.2,63820
Machinists,84.8,7,4.9,11.5,46120
Parts Salespersons,84.9,10.4,1.3,19.8,35220
Real Estate Brokers and Sales Agents,85,7.9,5.2,10.7,66100
"Transportation, Storage, and Distribution Managers",85.1,9.6,2.4,17.3,103320
Environmental Scientists and Geoscientists,85.1,4.8,7.4,12.4,85790
Operating Engineers and Other Construction Equipment Operators,85.1,8.9,0.9,14.9,54210
Special Education Teachers,85.2,9.2,3.5,6.5,65230
Pest Control Workers,85.2,8.5,1.6,18.5,39910
"Bookkeeping, Accounting, and Auditing Clerks",85.2,6.9,5.4,13,42960
Secretaries and Administrative Assistants,85.2,8.7,3.5,13.4,43410
Construction Laborers,85.3,8.6,1.6,46.7,41730
"Welding, Soldering, and Brazing Workers",85.3,8.8,2.3,22.8,44800
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",85.4,9.4,1.2,24.9,35150
Dental Assistants,85.5,6.7,3.1,28.9,41170
"First-Line Supervisors of Mechanics, Installers, and Repairers",85.7,9.9,1.5,16.1,70550
"Securities, Commodities, and Financial Services Sales Agents",85.9,5.4,7.5,11.9,93090
Grounds Maintenance Workers,86,8.2,0.9,43.6,33100
Marketing and Sales Managers,86.1,6.1,5.6,8.9,144660
Chiropractors,86.1,2.8,5.3,6.4,85010
Bartenders,86.1,6.3,2.8,16.5,28000
First-Line Supervisors of Non-Retail Sales Workers,86.2,6.5,5.7,14.4,86180
Surveying and Mapping Technicians,86.3,6.6,3.5,10.9,48500
Home Appliance Repairers,86.3,11.7,1.8,18.8,42400
General and Operations Managers,86.4,6.6,3.5,12.5,123030
Lawyers,86.6,5.9,5.7,5.8,145300
Emergency Medical Technicians and Paramedics,86.6,10.5,0.8,11.5,38830
"Helpers, Construction Trades",86.6,3.4,4.5,35.2,34300
Producers and Directors,86.7,6.4,3.5,8,93940
Firefighters,86.7,8.5,1.3,11.6,54650
Animal Trainers,86.7,4.6,2,12.3,36240
Artists and Related Workers,86.8,4.5,3.8,11.1,89470
"Chemical Processing Machine Setters, Operators, and Tenders",86.8,11,1,8.1,49250
Insurance Underwriters,87,5.9,5.4,6.2,77640
Secondary School Teachers,87.1,7.3,3.3,8.8,65850
Construction and Extraction Occupations,87.1,7.3,1.6,36.4,52580
"Pipelayers, Plumbers, Pipefitters, and Steamfitters",87.1,8.4,0.9,27.1,58570
